entry_id,name,skill_name
0,Agnes Tachyon,U=ma2
0,Agnes Tachyon,Wet Conditions ◎
0,Agnes Tachyon,Frenzied End Closers
0,Agnes Tachyon,Hesitant Front Runners
0,Agnes Tachyon,Hesitant End Closers
0,Agnes Tachyon,Dominator
0,Agnes Tachyon,Sharp Gaze
0,Agnes Tachyon,Standard Distance ◎
0,Agnes Tachyon,Nimble Navigator
0,Agnes Tachyon,Flustered Front Runners
0,Agnes Tachyon,Hesitant Pace Chasers
0,Agnes Tachyon,Opening Gambit
0,Agnes Tachyon,Murmur
1,Air Groove,Blazing Pride
1,Air Groove,Tokyo Racecourse ◎
1,Air Groove,Beeline Burst
1,Air Groove,Breath of Fresh Air
1,Air Groove,Updrafters
1,Air Groove,Late Surger Straightaways ◎
1,Air Groove,Triumphant Pulse
1,Air Groove,Wet Conditions ◎
1,Air Groove,Straightaway Acceleration
1,Air Groove,Slick Surge
1,Air Groove,Mile Straightaways ◎
1,Air Groove,Late Surger Corners ○
